X_Axis,Y_Axis,Heading
670,1600,1.17
740,1595,1.14
735,1625,1.15
690,1545,1.15
755,1620,1.13
690,1650,1.17
690,1605,1.16
725,1555,1.13
607,1495,1.19
685,1535,1.15
690,1545,1.15
805,1530,1.09
715,1650,1.16
770,1630,1.13
695,1680,1.18
725,1615,1.15
730,1590,1.14
725,1650,1.16
750,1620,1.14
655,1615,1.19
755,1550,1.12
730,1600,1.14
725,1585,1.14
795,1670,1.13
755,1615,1.13
705,1630,1.16
645,1555,1.18
725,1600,1.15
740,1692,1.16
730,1635,1.15
745,1620,1.14
690,1650,1.17
730,1665,1.16
670,1560,1.17
715,1620,1.16
695,1610,1.16
700,1505,1.14
675,1640,1.18
637,1620,1.2
750,1610,1.13
700,1600,1.16
680,1590,1.17
740,1555,1.13
750,1680,1.15
740,1620,1.14
750,1610,1.13
700,1610,1.16
700,1640,1.17
795,1585,1.11
770,1640,1.13
790,1640,1.12
700,1645,1.17
735,1665,1.16
765,1620,1.13
795,1610,1.11
745,1505,1.11
755,1545,1.12
720,1625,1.15
735,1630,1.15
700,1687,1.18
750,1555,1.12
750,1580,1.13
670,1560,1.17
720,1595,1.15
705,1545,1.14
695,1615,1.16
740,1560,1.13
670,1620,1.18
785,1530,1.1
755,1600,1.13
695,1620,1.17
725,1610,1.15
745,1615,1.14
740,1665,1.15
710,1640,1.16
770,1685,1.14
770,1610,1.12
675,1640,1.18
750,1535,1.12
715,1665,1.17
617,1615,1.21
655,1535,1.17
785,1620,1.12
765,1670,1.14
755,1595,1.13
700,1600,1.16
592,1525,1.2
655,1555,1.17
710,1515,1.13
775,1535,1.1
675,1680,1.19
710,1570,1.15
755,1600,1.13
705,1615,1.16
730,1555,1.13
770,1595,1.12
670,1560,1.17
730,1620,1.15
715,1615,1.15
730,1590,1.14
720,1605,1.15
745,1600,1.14
760,1472,1.09
725,1665,1.16
820,1680,1.12
750,1635,1.14
755,1565,1.12
845,1565,1.08
750,1680,1.15
810,1620,1.11
790,1702,1.14
660,1545,1.17
612,1605,1.21
735,1635,1.15
690,1610,1.17
700,1655,1.17
790,1585,1.11
775,1640,1.13
715,1640,1.16
740,1585,1.13
675,1625,1.18
760,1555,1.12
765,1670,1.14
770,1625,1.13
705,1580,1.15
735,1687,1.16
760,1570,1.12
715,1650,1.16
765,1630,1.13
740,1580,1.13
815,1697,1.12
690,1605,1.16
690,1605,1.16
680,1630,1.18
700,1665,1.17
700,1630,1.17
675,1590,1.17
660,1630,1.19
705,1675,1.17
770,1610,1.12
685,1590,1.16
750,1635,1.14
715,1580,1.15
695,1580,1.16
730,1645,1.15
740,1610,1.14
627,1580,1.19
690,1600,1.16
730,1645,1.15
735,1680,1.16
735,1670,1.16
715,1620,1.16
725,1605,1.15
715,1645,1.16
745,1590,1.13
735,1620,1.14
700,1605,1.16
730,1600,1.14
665,1625,1.18
820,1665,1.11
690,1685,1.18
710,1610,1.16
720,1610,1.15
715,1495,1.12
705,1590,1.15
680,1515,1.15
735,1600,1.14
695,1610,1.16
760,1640,1.14
740,1630,1.14
680,1702,1.19
820,1595,1.1
685,1665,1.18
770,1590,1.12
725,1610,1.15
745,1625,1.14
720,1595,1.15
720,1545,1.13
685,1650,1.18
720,1630,1.15
